gene1,gene2,score
CLDN6,S1PR2,-0.27855085
MAML2,IKZF3,-0.278538322
PLEKHO2,PIK3CB,-0.278536335
HNF4A,HNF4A,-0.278534201
GLB1L2,PLEKHO2,-0.278518059
PIK3CB,RHOXF2B,-0.278512052
CNNM4,MEIS1,-0.278510494
MAPK1,PIK3CB,-0.278487601
TBX2,KIAA1804,-0.278480689
MAP4K3,C19orf26,-0.278480395
RUNX1T1,HOXA13,-0.278471352
CLDN6,PIK3CB,-0.278434418
JUN,OSR2,-0.278406965
MAML2,STIL,-0.27840425
STIL,CEBPB,-0.278397309
MAP2K6,ZBTB10,-0.278373413
SET,SAMD1,-0.278370137
KIF18B,ZBTB1,-0.278338749
MAP4K3,SGK1,-0.278334701
negative,FOXA1,-0.27831601
C19orf26,HNF4A,-0.278315352
PLK4,CDKN1A,-0.278299318
SET,HOXB9,-0.278290882
SLC38A2,RHOXF2B,-0.278288514
FOSB,FOXF1,-0.278276174
PTPN9,FOXA1,-0.278266587
NCL,ZBTB1,-0.278264584
LHX1,C19orf26,-0.278263281
MEIS1,NCL,-0.27825977
TGFBR2,ARID1A,-0.278235538
BCR,DLX2,-0.278235397
UBASH3B,MAPK1,-0.278230801
FOSB,TSC22D1,-0.278224766
C19orf26,IRF1,-0.278205713
SPI1,TBX2,-0.278202651
PLK4,OSR2,-0.278200745
ZBTB1,FOXA1,-0.278191666
ZBTB1,C19orf26,-0.278186045
SGK1,PIK3CB,-0.278157157
CNN1,ZBTB10,-0.278155968
ISL2,TBX2,-0.278152251
LHX1,CITED1,-0.278128385
ZBTB1,CBFA2T3,-0.278125199
PTPN12,FOXF1,-0.27812032
RREB1,PEG10,-0.27810569
PTPN1,PEG10,-0.278065841
PIK3CB,MAPK1,-0.278059859
MAP4K3,CDKN1A,-0.278055215
MEIS1,BPGM,-0.278050772
S1PR2,MAP4K5,-0.27804479
negative,KIAA1804,-0.278019812
KIF2C,MEIS1,-0.278018502
AHR,MAML2,-0.278016623
TBX2,KMT2A,-0.278015615
DLX2,SAMD1,-0.277999361
TGFBR2,IGDCC3,-0.277997048
FOXA1,ELMSAN1,-0.27799585
GCH1,KIAA1804,-0.277990707
UBASH3B,JUN,-0.277988282
CITED1,KIAA1804,-0.277970456
CDKN1B,ETS2,-0.277961254
TGFBR2,CBL,-0.277958433
CNNM4,UBASH3B,-0.27795061
TMEM173,HNF4A,-0.277943622
MAPK1,SET,-0.277918873
KMT2A,KIF2C,-0.277892209
ETS2,ETS2,-0.277889573
TBX2,AHR,-0.277885765
MIDN,MAP2K3,-0.277879442
FOXA1,ARRDC3,-0.277873172
ETS2,CEBPE,-0.277860389
PEG10,SAMD1,-0.277858652
IGDCC3,PTPN12,-0.27785575
IGDCC3,GLB1L2,-0.277855532
PLK4,SLC6A9,-0.277851647
KMT2A,CEBPE,-0.277838822
FOXF1,PRTG,-0.27783874
BCORL1,CEBPB,-0.277825635
JUN,TSC22D1,-0.277820362
FOXF1,C19orf26,-0.277773854
LYL1,S1PR2,-0.277754697
ETS2,FOXL2,-0.277750553
GLB1L2,S1PR2,-0.277738331
ZNF318,FOXA3,-0.277719748
DLX2,MAPK1,-0.277714254
PRTG,PTPN9,-0.277705023
TMEM173,IGDCC3,-0.277690008
ZBTB25,SET,-0.277682803
BCL2L11,FOXL2,-0.277680298
negative,OSR2,-0.277680058
PIK3CB,ARID1A,-0.277677447
ISL2,NCL,-0.277665134
RREB1,IRF1,-0.27764546
ZBTB1,HOXB9,-0.277642587
BPGM,JUN,-0.277641026
TBX3,IER5L,-0.277615788
PTPN12,SET,-0.27760847
PRTG,BPGM,-0.277590304
POU3F2,PTPN12,-0.277588319
MEIS1,TBX3,-0.277563565
RUNX1T1,FOXA1,-0.277549895
LHX1,CELF2,-0.277526594
BCL2L11,PTPN13,-0.277514714
FEV,PTPN12,-0.277514364
SNAI1,BCORL1,-0.277507146
CLDN6,ELMSAN1,-0.277500865
S1PR2,HOXB9,-0.27749813
negative,DUSP9,-0.277489936
GLB1L2,CDKN1A,-0.277489364
KIF18B,BCR,-0.277473214
GLB1L2,PLK4,-0.277470646
MIDN,ZBTB25,-0.277469234
CNN1,POU3F2,-0.277447519
SGK1,SGK1,-0.277446605
HK2,FOXA1,-0.277404749
HNF4A,KLF1,-0.277401535
ZBTB1,KIAA1804,-0.277400077
CDKN1A,CNN1,-0.277397705
TBX2,UBASH3A,-0.277396545
negative,PTPN1,-0.277391014
CBL,KIF18B,-0.277373159
PRTG,S1PR2,-0.277364287
TMSB4X,FOXA3,-0.277349765
ZBTB25,LHX1,-0.277334554
CBFA2T3,FOXL2,-0.277328295
CKS1B,PTPN12,-0.277327483
STIL,TSC22D1,-0.277320021
PLEKHO2,PTPN9,-0.27729443
C19orf26,PTPN1,-0.277285222
JUN,IRF1,-0.277261222
KMT2A,MAPK1,-0.277255801
ETS2,TMSB4X,-0.277238887
PTPN1,PTPN12,-0.27721876
SET,MAPK1,-0.277205583
LHX1,negative,-0.277196202
MAML2,RHOXF2B,-0.277156927
RHOXF2B,TBX2,-0.277154346
DLX2,SGK1,-0.277142857
ETS2,CLDN6,-0.277136753
BPGM,FOXA3,-0.277127086
PEG10,PRTG,-0.277110773
TMSB4X,FOXF1,-0.277095591
DLX2,PLK4,-0.277094142
TGFBR2,S1PR2,-0.277089496
TBX3,SAMD1,-0.277076351
BPGM,JUN,-0.277071484
SAMD1,LYL1,-0.277061716
CDKN1C,SLC6A9,-0.277061636
IRF1,TGFBR2,-0.277060721
NCL,KIAA1804,-0.277038302
MAPK1,KMT2A,-0.277032184
SAMD1,TBX2,-0.277009613
PEG10,CDKN1A,-0.276998839
ZBTB25,BAK1,-0.276988894
HNF4A,ZC3HAV1,-0.276983435
S1PR2,KIAA1804,-0.276970002
FOXL2,FOXA3,-0.276960686
SAMD1,PLEKHO2,-0.276937931
S1PR2,FEV,-0.276928879
HK2,RREB1,-0.276905373
CKS1B,ISL2,-0.27686731
CSRNP1,ARID1A,-0.276853252
DLX2,MAP4K5,-0.276840462
BCL2L11,POU3F2,-0.27683482
HNF4A,LYL1,-0.276813266
RREB1,OSR2,-0.276798272
DLX2,ELMSAN1,-0.276784202
ZBTB1,FOSB,-0.276781157
CDKN1A,ZBTB25,-0.276767811
CNN1,CDKN1C,-0.276763237
CDKN1B,CEBPB,-0.276739158
CLDN6,BPGM,-0.276696253
TGFBR2,JUN,-0.276677962
DUSP9,negative,-0.27666993
negative,KIF18B,-0.276646943
IGDCC3,KIF2C,-0.276643594
HOXB9,negative,-0.276641216
TGFBR2,CDKN1A,-0.276638673
UBASH3B,C19orf26,-0.276627787
KIF18B,S1PR2,-0.276599355
CNNM4,LHX1,-0.276592699
MAP7D1,MEIS1,-0.276581085
MIDN,negative,-0.276574082
KIF18B,CBL,-0.276572348
SGK1,STIL,-0.276569212
OSR2,CELF2,-0.276566167
TBX2,ZBTB1,-0.27654107
CNN1,CDKN1A,-0.276535198
BCORL1,KIF18B,-0.276534835
PTPN1,OSR2,-0.276516779
HOXB9,TMSB4X,-0.276506205
negative,SNAI1,-0.27648974
ATL1,SLC6A9,-0.276462843
HNF4A,negative,-0.276451152
EGR1,FOXL2,-0.276448485
CDKN1C,PIK3CB,-0.276429426
C19orf26,MAP4K3,-0.276423223
PTPN13,negative,-0.276417939
FOXA1,SAMD1,-0.27641426
SLC6A9,MAP7D1,-0.276389308
IGDCC3,TBX2,-0.27636236
CLDN6,BCL2L11,-0.276357932
CKS1B,ZBTB25,-0.276350434
IRF1,RREB1,-0.276338466
CDKN1B,FOSB,-0.276336793
CDKN1C,negative,-0.276331151
NCL,FEV,-0.276307735
CBFA2T3,UBASH3B,-0.276288628
PTPN9,LHX1,-0.276275137
RREB1,DLX2,-0.276253919
ISL2,KIF18B,-0.276243554
EGR1,NCL,-0.276224825
CNNM4,ETS2,-0.276218178
ZBTB1,FOXA3,-0.276207093
UBASH3B,ATL1,-0.276200954
PLEKHO2,GLB1L2,-0.27619132
ARRDC3,CDKN1B,-0.276167874
TSC22D1,CKS1B,-0.276160139
ARID1A,PTPN12,-0.276134577
MEIS1,S1PR2,-0.276111012
STIL,STIL,-0.276070287
CEBPB,IRF1,-0.276053942
FOXL2,KLF1,-0.276051159
MAP4K5,CBFA2T3,-0.276035304
GLB1L2,JUN,-0.27602619
PLK4,UBASH3B,-0.276001789
JUN,MAP4K5,-0.275995229
GLB1L2,BCL2L11,-0.275992977
SLC6A9,ATL1,-0.275986309
ZNF318,KIF18B,-0.275981797
negative,FOXA1,-0.275977331
PTPN1,MAP7D1,-0.275972486
CSRNP1,SPI1,-0.275936061
CNNM4,MEIS1,-0.275933215
DLX2,negative,-0.275910812
MAP7D1,PRTG,-0.275899849
KIF18B,C19orf26,-0.275895757
FOSB,KIAA1804,-0.275889789
HNF4A,SGK1,-0.275886612
SNAI1,TMSB4X,-0.275877099
CDKN1B,TMEM173,-0.275869559
SLC6A9,FOXL2,-0.275865568
SAMD1,GLB1L2,-0.275860655
CDKN1B,KMT2A,-0.275850557
CDKN1C,KIF2C,-0.275843413
MEIS1,KIF2C,-0.275840982
CDKN1B,CNNM4,-0.275830037
SAMD1,TSC22D1,-0.275801891
MAP4K5,ZBTB1,-0.275796718
TBX3,PLK4,-0.275789819
MAP2K3,COL1A1,-0.27578681
SAMD1,BCR,-0.275784054
PTPN1,HOXB9,-0.27578068
BPGM,MAPK1,-0.275778201
SAMD1,RUNX1T1,-0.275777814
BPGM,HOXB9,-0.275776875
SNAI1,MAP2K3,-0.275770486
MAPK1,POU3F2,-0.27576845
PTPN1,ETS2,-0.275763762
CNNM4,MAP7D1,-0.275758202
FOXA3,ARRDC3,-0.275755184
MAP4K3,RREB1,-0.275741877
PTPN1,KLF1,-0.275736997
FOXA3,SLC38A2,-0.275725512
MAP4K5,FEV,-0.275689633
SGK1,negative,-0.275682672
negative,RREB1,-0.275680092
LYL1,AHR,-0.275624901
POU3F2,BCL2L11,-0.27555868
CELF2,SNAI1,-0.275557475
MIDN,CSRNP1,-0.275536733
LHX1,NCL,-0.275525233
IGDCC3,negative,-0.275505651
BCR,POU3F2,-0.275501787
MCOLN3,GLB1L2,-0.27550121
SLC6A9,IRF1,-0.27549334
ZBTB25,JUN,-0.275487665
CDKN1A,TBX3,-0.275481363
IKZF3,CSRNP1,-0.275460856
KMT2A,EGR1,-0.275460168
PRDM1,MAML2,-0.275445384
CBFA2T3,BCL2L11,-0.275428113
CKS1B,PTPN9,-0.275427337
JUN,HK2,-0.275420671
BCL2L11,CLDN6,-0.275369371
negative,JUN,-0.27536454
S1PR2,CDKN1A,-0.275359433
TSC22D1,EGR1,-0.275336429
PLK4,KIF2C,-0.275332255
ELMSAN1,FOXA3,-0.275331235
CBFA2T3,STIL,-0.275329975
PTPN9,ZBTB1,-0.275311201
PTPN9,ARRDC3,-0.27530249
BCL2L11,PEG10,-0.275299775
CBL,LHX1,-0.275298802
PIK3CB,RREB1,-0.275291526
NCL,OSR2,-0.275263815
ZBTB10,SET,-0.275240886
ZBTB1,PTPN12,-0.275185009
BCR,MIDN,-0.275160891
ZBTB1,SET,-0.275149104
MAML2,FOXO4,-0.275140074
CNNM4,CBFA2T3,-0.275138431
negative,HNF4A,-0.275134509
SAMD1,ZNF318,-0.275127643
FOXA1,negative,-0.275122996
DLX2,ETS2,-0.275113587
CBFA2T3,HOXB9,-0.275094478
FOXA1,PIK3CB,-0.275075445
PTPN1,MAP4K3,-0.27506358
CBFA2T3,LYL1,-0.275046379
negative,KIF18B,-0.275004055
BCL2L11,HOXB9,-0.275003756
ATL1,SLC38A2,-0.274999793
PTPN1,FOXA3,-0.274997002
CDKN1B,ISL2,-0.274993026
negative,KIF18B,-0.274982537
FOSB,FOXA3,-0.274978931
CITED1,CLDN6,-0.274974235
S1PR2,ZBTB1,-0.274964803
BCORL1,CDKN1C,-0.274922202
CNNM4,FEV,-0.27491828
CDKN1C,NIT1,-0.274883433
CELF2,DLX2,-0.274863407
IRF1,ARRDC3,-0.274857433
KIF2C,IER5L,-0.274846132
negative,CELF2,-0.274841452
FOXA1,MCOLN3,-0.274831621
JUN,C19orf26,-0.274829851
NCL,GLB1L2,-0.274824399
MEIS1,CNNM4,-0.274813278
TSC22D1,KIF18B,-0.274782261
TSC22D1,CDKN1C,-0.274781311
ARID1A,CEBPB,-0.274777001
KIF18B,GLB1L2,-0.274742117
GLB1L2,OSR2,-0.274729069
CDKN1B,negative,-0.274727537
JUN,STIL,-0.274704105
IGDCC3,MAPK1,-0.274702386
HK2,CDKN1B,-0.274696122
CDKN1A,FOXA3,-0.274691163
KIF18B,ARRDC3,-0.274679619
OSR2,ISL2,-0.274666749
HK2,ARID1A,-0.274658269
ZNF318,CBL,-0.274655867
MEIS1,BCORL1,-0.274629383
ARID1A,TGFBR2,-0.274624741
SET,C19orf26,-0.274615421
SAMD1,FOXA1,-0.274604322
BPGM,CDKN1B,-0.274595684
CDKN1A,ELMSAN1,-0.274577215
S1PR2,MAPK1,-0.27453507
CDKN1C,MAP7D1,-0.274525899
KIF18B,PLK4,-0.274514345
BCORL1,CDKN1B,-0.274509719
negative,RHOXF2B,-0.274498481
CLDN6,negative,-0.274471591
CDKN1A,KLF1,-0.274458907
C19orf26,HK2,-0.274457496
RUNX1T1,SGK1,-0.27444362
GLB1L2,HOXB9,-0.274423605
ELMSAN1,HOXA13,-0.27442332
CDKN1B,ZBTB1,-0.274377663
PTPN1,C19orf26,-0.274373571
MEIS1,CDKN1B,-0.274353885
MAP2K6,FOXL2,-0.274351973
MAP4K5,CDKN1C,-0.274337731
ARRDC3,RREB1,-0.274311591
IRF1,EGR1,-0.274309734
negative,RREB1,-0.274295031
CDKN1C,negative,-0.274275404
EGR1,TBX3,-0.274273342
PTPN9,CBFA2T3,-0.274271232
KIF18B,PIK3CB,-0.274254775
TBX2,MEIS1,-0.274244314
SGK1,FOSB,-0.274239113
CBL,TGFBR2,-0.27423307
CKS1B,JUN,-0.27423164
RHOXF2B,MAP2K6,-0.274230428
RHOXF2B,CSRNP1,-0.274217339
TBX3,C19orf26,-0.274194167
IRF1,MCOLN3,-0.274169017
SAMD1,HK2,-0.274167934
IER5L,ELMSAN1,-0.27415341
KIF18B,ELMSAN1,-0.274129527
SLC6A9,DLX2,-0.274127119
ZBTB1,CDKN1B,-0.274120439
KIF18B,ZNF318,-0.274073083
GCH1,NIT1,-0.274065166
PRTG,CITED1,-0.274064451
DLX2,negative,-0.274038645
BCORL1,AHR,-0.274023892
CBL,TBX3,-0.274021026
CBFA2T3,ARRDC3,-0.274018699
NIT1,PRTG,-0.273983779
PTPN9,CLDN6,-0.273983248
FOXL2,MAP2K6,-0.27397375
negative,IGDCC3,-0.273968274
MAML2,COL1A1,-0.273953601
MAP4K3,SAMD1,-0.273927342
DUSP9,SLC6A9,-0.273909932
negative,MIDN,-0.273900786
PTPN1,RUNX1T1,-0.273869441
MAP4K5,CDKN1C,-0.273860046
PLEKHO2,NCL,-0.27383538
KIF2C,MAP4K5,-0.273826379
FOSB,TGFBR2,-0.273775711
FOSB,FOSB,-0.273755169
SAMD1,TMSB4X,-0.273748345
PRTG,MAP4K5,-0.273745936
LYL1,KIF18B,-0.273716009
POU3F2,CDKN1A,-0.273676973
CDKN1A,KMT2A,-0.273668627
ARRDC3,MEIS1,-0.273665121
KIAA1804,negative,-0.273657137
RREB1,STIL,-0.273647697
RHOXF2B,RUNX1T1,-0.273633952
CLDN6,MAPK1,-0.273626318
KIAA1804,KIF2C,-0.27362391
TBX2,FOXA1,-0.273621787
CDKN1C,STIL,-0.273617129
CNNM4,UBASH3A,-0.273612413
BCR,CDKN1A,-0.273586463
MAML2,DUSP9,-0.273560854
SGK1,FOXA1,-0.273550113
MAPK1,MCOLN3,-0.273548624
MIDN,OSR2,-0.273544382
OSR2,CNNM4,-0.273543899
FOXA3,MAP2K6,-0.273537827
MAPK1,PTPN1,-0.273535272
SAMD1,BPGM,-0.273526276
TMEM173,SET,-0.273494979
TBX2,HNF4A,-0.273470935
TSC22D1,KIAA1804,-0.273424116
BCL2L11,CDKN1C,-0.273401246
MAP2K3,HNF4A,-0.273309378
RREB1,CELF2,-0.273276542
CNN1,BPGM,-0.273250334
PTPN1,SGK1,-0.273238672
LYL1,COL1A1,-0.273236744
PEG10,KIF2C,-0.273234532
GLB1L2,MAPK1,-0.273226582
NCL,MEIS1,-0.273224475
TSC22D1,MAPK1,-0.273223585
CBL,HOXB9,-0.273220327
CNN1,LHX1,-0.273210675
ARRDC3,JUN,-0.273210587
SAMD1,ISL2,-0.273203956
GLB1L2,KIF2C,-0.273200026
IER5L,MAP4K5,-0.273169566
SAMD1,ETS2,-0.273161372
BCL2L11,SAMD1,-0.273150665
CDKN1B,RUNX1T1,-0.273149227
LYL1,ARRDC3,-0.273143626
CNNM4,FOXA3,-0.27313091
MIDN,TSC22D1,-0.27312705
RREB1,BCR,-0.273119867
CNN1,LHX1,-0.273103503
CEBPE,PTPN9,-0.273097463
CITED1,POU3F2,-0.273092108
CBFA2T3,RREB1,-0.273087918
SLC6A9,FEV,-0.27308157
CDKN1C,PTPN9,-0.273068491
POU3F2,ZBTB1,-0.273033877
FOXA3,CDKN1A,-0.273031638
SET,BPGM,-0.273027242
negative,KIF18B,-0.273017623
TBX3,KIF18B,-0.27301266
POU3F2,CITED1,-0.273006573
CBFA2T3,CNN1,-0.273003933
CBFA2T3,SLC6A9,-0.272983195
DLX2,KIAA1804,-0.272952654
HNF4A,MAML2,-0.272943622
HOXB9,LYL1,-0.272907927
CBFA2T3,ZNF318,-0.272903993
SAMD1,NIT1,-0.272889241
ELMSAN1,SET,-0.272874826
negative,CLDN6,-0.27287248
FOXA1,LYL1,-0.272851443
CBFA2T3,CNN1,-0.272846372
ZC3HAV1,ZBTB10,-0.272844776
TBX2,SGK1,-0.272810801
LHX1,GLB1L2,-0.272809453
LHX1,LYL1,-0.272796007
CLDN6,EGR1,-0.272795191
KMT2A,ARRDC3,-0.272752938
PTPN1,RUNX1T1,-0.272748701
TGFBR2,IRF1,-0.272719841
RREB1,BCL2L11,-0.27271192
ZBTB25,LYL1,-0.272705843
SLC38A2,IER5L,-0.272700576
BCORL1,FOSB,-0.272693299
TGFBR2,HNF4A,-0.272674267
MAP7D1,SAMD1,-0.272637852
RUNX1T1,FOSB,-0.272630709
PRTG,CELF2,-0.272626047
negative,DUSP9,-0.272572781
STIL,OSR2,-0.272547216
negative,DLX2,-0.272544875
CLDN6,BCR,-0.272543622
ETS2,PTPN1,-0.272524967
MAP2K6,STIL,-0.272523604
CDKN1B,HK2,-0.272520708
ARID1A,KIF18B,-0.272519428
PRTG,TBX2,-0.27250398
C19orf26,HK2,-0.272488936
CLDN6,SLC38A2,-0.272487873
KIF18B,MAP4K3,-0.272467312
MAP4K3,KIF18B,-0.272460199
PEG10,TBX2,-0.272451893
CNNM4,CDKN1B,-0.272415602
ZNF318,POU3F2,-0.272415447
CDKN1B,MAP4K5,-0.272407264
PEG10,IRF1,-0.272405605
SGK1,GLB1L2,-0.272393963
TBX2,CDKN1C,-0.272382313
GLB1L2,ISL2,-0.272370304
PLK4,TSC22D1,-0.27236699
UBASH3A,PEG10,-0.272364763
CDKN1B,GCH1,-0.272360119
negative,CDKN1B,-0.2723568
CBL,FOXA3,-0.272351849
SNAI1,negative,-0.27233818
MEIS1,PTPN1,-0.272290452
CKS1B,PEG10,-0.272287218
TGFBR2,PRTG,-0.272265929
CDKN1B,SLC6A9,-0.272251125
CLDN6,ETS2,-0.272226286
TSC22D1,FOSB,-0.272195783
KIF18B,PTPN9,-0.272186606
PLK4,IRF1,-0.272170033
PTPN1,ELMSAN1,-0.272167285
ZNF318,TBX3,-0.272157058
SET,IRF1,-0.27215352
TSC22D1,JUN,-0.272143436
MAP4K5,CBFA2T3,-0.272135203
SET,BCL2L11,-0.272112455
negative,RHOXF2B,-0.272102163
CELF2,SET,-0.272077476
TBX3,DLX2,-0.272073459
negative,PTPN13,-0.272067762
PRTG,TMEM173,-0.27205634
negative,STIL,-0.272046656
MAP7D1,POU3F2,-0.272039575
PLK4,PTPN9,-0.272035709
BCORL1,RHOXF2B,-0.272025575
ZC3HAV1,SLC4A1,-0.272007902
HK2,CDKN1B,-0.271996322
TBX3,EGR1,-0.271983875
ATL1,MAP2K3,-0.271983621
SGK1,HK2,-0.27196878
PTPN1,negative,-0.271966646
BCORL1,MEIS1,-0.271946645
ELMSAN1,JUN,-0.271943541
CDKN1A,negative,-0.271940058
TGFBR2,CNN1,-0.271936017
STIL,DLX2,-0.271933254
FOXA3,PTPN1,-0.271932425
negative,AHR,-0.271931557
TBX3,NCL,-0.271928479
PLEKHO2,PLEKHO2,-0.271897852
negative,KIAA1804,-0.271896046
C19orf26,LHX1,-0.271886367
ARRDC3,CITED1,-0.271862197
C19orf26,CNN1,-0.271861744
PTPN12,DLX2,-0.271838894
FEV,BCL2L11,-0.271832936
MAP4K3,KIAA1804,-0.27182294
CDKN1A,SGK1,-0.27181323
RHOXF2B,ZBTB25,-0.271804501
UBASH3A,PTPN1,-0.271759922
KIF18B,negative,-0.271759657
MAPK1,UBASH3B,-0.271758963
MEIS1,MAP4K3,-0.271738351
CLDN6,MAP4K3,-0.271734755
CDKN1B,NCL,-0.271717142
TBX2,KIAA1804,-0.271715027
PTPN9,CBFA2T3,-0.271695345
ATL1,UBASH3B,-0.271681868
DLX2,ELMSAN1,-0.271677261
CKS1B,NCL,-0.271661294
ZBTB10,TMSB4X,-0.271627247
PLK4,POU3F2,-0.271584607
C19orf26,CDKN1C,-0.271575187
SLC38A2,RREB1,-0.271556752
PRTG,negative,-0.271552224
SAMD1,CKS1B,-0.27153684
CKS1B,CELF2,-0.271527957
NIT1,BCL2L11,-0.271519877
ETS2,SET,-0.271515977
CBL,TBX2,-0.271515728
OSR2,MEIS1,-0.271505228
ZNF318,ZBTB1,-0.271501694
UBASH3B,BPGM,-0.271473336
PLK4,CNNM4,-0.27146346
ETS2,ISL2,-0.271463161
PTPN9,UBASH3B,-0.271462757
KMT2A,KIF18B,-0.271461233
SLC38A2,IER5L,-0.271460728
IGDCC3,TMSB4X,-0.271451797
CDKN1B,BPGM,-0.271448209
PTPN1,TBX3,-0.271445755
JUN,PEG10,-0.271434842
OSR2,TSC22D1,-0.271427955
STIL,FOSB,-0.271422027
CLDN6,negative,-0.271419734
CNNM4,SGK1,-0.271396508
SAMD1,SLC6A9,-0.271392775
C19orf26,HOXB9,-0.271388336
SLC6A9,PTPN13,-0.271378681
CDKN1C,IRF1,-0.271373129
SAMD1,BCORL1,-0.271372504
KMT2A,ETS2,-0.271367957
NCL,HOXB9,-0.271346832
CLDN6,negative,-0.271340179
MCOLN3,SET,-0.271284757
PTPN9,SAMD1,-0.271263489
EGR1,C19orf26,-0.271240355
TBX2,NCL,-0.271235215
negative,PTPN1,-0.271227238
BCL2L11,GLB1L2,-0.271209574
SAMD1,S1PR2,-0.271196445
ZBTB1,JUN,-0.271194462
SLC38A2,KIF18B,-0.271188094
GCH1,ZBTB10,-0.271168241
C19orf26,ARID1A,-0.271151279
CEBPB,MAPK1,-0.271141229
C19orf26,KIAA1804,-0.271139319
CNN1,BCL2L11,-0.271135956
ETS2,KIF18B,-0.271129289
SLC38A2,DLX2,-0.2711265
LYL1,SET,-0.271118152
FEV,KIF2C,-0.271062805
GLB1L2,OSR2,-0.271048566
CBL,BPGM,-0.271026807
CNNM4,TGFBR2,-0.271019471
LYL1,UBASH3B,-0.271007842
NIT1,C19orf26,-0.271007423
CLDN6,RUNX1T1,-0.27100466
CSRNP1,HOXA13,-0.270990283
CEBPE,SLC6A9,-0.270990129
RREB1,CITED1,-0.270986506
ZBTB1,EGR1,-0.270985233
FOSB,KIF18B,-0.270984196
CLDN6,FOXL2,-0.270974357
BPGM,TGFBR2,-0.270946483
MEIS1,MAP7D1,-0.270945766
OSR2,GLB1L2,-0.270938838
MAP2K3,HNF4A,-0.270907054
STIL,RREB1,-0.270847203
CITED1,POU3F2,-0.270827629
MAP7D1,SET,-0.270820327
CELF2,IRF1,-0.270811147
TBX3,UBASH3B,-0.27078907
PTPN1,MCOLN3,-0.270786695
STIL,MAP7D1,-0.270776009
KIF18B,GCH1,-0.270748645
CDKN1A,SGK1,-0.270737926
LYL1,CDKN1B,-0.270731776
KIAA1804,TSC22D1,-0.270729393
TMSB4X,KIF18B,-0.270728824
ETS2,SAMD1,-0.2707165
CITED1,PRTG,-0.270705004
CNNM4,ZNF318,-0.270698929
IER5L,MAML2,-0.270686134
PIK3CB,LHX1,-0.270685579
LHX1,negative,-0.270666652
CELF2,ZBTB1,-0.270632726
IER5L,ELMSAN1,-0.270627491
HK2,FOXA1,-0.270616482
PTPN1,negative,-0.270615061
MAPK1,GLB1L2,-0.270612504
PEG10,FOXA3,-0.27061234
CBL,ISL2,-0.270607587
MAPK1,TSC22D1,-0.270603888
MEIS1,TGFBR2,-0.270586487
BPGM,KIF18B,-0.27055564
CBL,CBFA2T3,-0.270499642
PLK4,LHX1,-0.270499439
TSC22D1,LHX1,-0.270495126
KIF18B,FOXL2,-0.270484223
CNNM4,CDKN1B,-0.270467007
SET,negative,-0.270457063
ZNF318,CKS1B,-0.270421019
AHR,negative,-0.270389351
BCORL1,UBASH3B,-0.270389228
PTPN12,POU3F2,-0.270368071
CDKN1B,CKS1B,-0.270351593
ZBTB1,negative,-0.270347022
PTPN9,POU3F2,-0.270335868
ARRDC3,KIF2C,-0.270328156
LYL1,C19orf26,-0.270313177
CDKN1A,negative,-0.270302613
SGK1,negative,-0.270296327
SET,ZBTB10,-0.270289186
CKS1B,FOXA1,-0.270245453
S1PR2,MCOLN3,-0.270231188
ZNF318,MIDN,-0.27023015
CNNM4,GLB1L2,-0.270228281
CDKN1C,NCL,-0.270218522
CDKN1B,STIL,-0.270214847
MAP4K5,FOXA3,-0.270204378
POU3F2,PLK4,-0.27019737
EGR1,IGDCC3,-0.270193177
IER5L,MAML2,-0.270171301
CDKN1B,negative,-0.270167119
CBFA2T3,S1PR2,-0.270122396
CLDN6,ETS2,-0.270069322
KIAA1804,negative,-0.270057601
negative,CDKN1A,-0.270038516
NIT1,OSR2,-0.270030948
CDKN1A,ARRDC3,-0.270016571
MEIS1,EGR1,-0.269980832
DLX2,RUNX1T1,-0.269943624
CITED1,PLEKHO2,-0.26993644
OSR2,FOSB,-0.269936072
IRF1,NCL,-0.269899531
NCL,CBL,-0.269896386
FOXA3,FOXF1,-0.269892087
BCL2L11,PTPN9,-0.269890652
DUSP9,IRF1,-0.269883397
PEG10,MEIS1,-0.269848201
FOXF1,MAP2K6,-0.269847266
CKS1B,FOXA3,-0.269843415
CNNM4,ISL2,-0.26983425
IRF1,LYL1,-0.2698084
PTPN1,ARRDC3,-0.269805404
negative,CDKN1B,-0.269792878
HK2,LHX1,-0.269789111
CEBPB,PLK4,-0.269766047
SLC6A9,ZBTB10,-0.269756323
UBASH3A,IRF1,-0.269753416
PRTG,FOXL2,-0.269750326
BCORL1,HOXA13,-0.269737129
MAP4K5,MEIS1,-0.269718134
OSR2,ZBTB1,-0.269709073
MCOLN3,SGK1,-0.269694126
MAP4K5,SAMD1,-0.269679254
KIAA1804,negative,-0.269676593
negative,DLX2,-0.269673607
SET,ETS2,-0.269671991
negative,FOXA1,-0.269655351
CBFA2T3,TSC22D1,-0.269652893
MAP2K6,SNAI1,-0.269648452
PEG10,FOSB,-0.269634342
CBFA2T3,RUNX1T1,-0.269626404
TBX2,PRDM1,-0.269618604
CDKN1C,HOXB9,-0.269601581
ZNF318,FEV,-0.269594676
SET,SGK1,-0.269580782
S1PR2,ETS2,-0.269571325
EGR1,FEV,-0.269543619
KIF2C,BPGM,-0.269540552
RREB1,MAP2K6,-0.269532617
MAP7D1,JUN,-0.269520795
