gene1,gene2,score
DUSP9,PLEKHO2,-0.711833284
C3orf72,TBX3,-0.711762708
HOXA13,PIK3CB,-0.711715565
DUSP9,HOXC13,-0.711695531
HOXA13,CBFA2T3,-0.711584446
SLC4A1,CBFA2T3,-0.711522894
PTPN13,POU3F2,-0.710803783
CEBPE,CEBPE,-0.710718573
CEBPE,BAK1,-0.710661605
TP73,CLDN6,-0.710627795
HOXA13,TGFBR2,-0.710571213
HOXA13,CITED1,-0.710497553
FOXA3,FOXO4,-0.710277451
RHOXF2B,HOXA13,-0.709824948
NIT1,C3orf72,-0.709730218
ATL1,FOXF1,-0.709610434
FOXF1,C3orf72,-0.7095898
CEBPB,TGFBR2,-0.709571718
HOXB9,COL2A1,-0.709341826
NIT1,DUSP9,-0.70933019
HOXC13,IER5L,-0.709322879
TP73,ZBTB25,-0.709039687
TP73,ETS2,-0.708986725
HOXA13,LHX1,-0.708880907
ZBTB10,IKZF3,-0.708848441
NIT1,C3orf72,-0.708644311
TP73,HOXA13,-0.708481729
LYL1,NIT1,-0.707407853
SPI1,CELF2,-0.707330932
C3orf72,FOXF1,-0.707307862
NIT1,HOXA13,-0.707036577
CEBPE,KIF2C,-0.707015342
SLC4A1,KIF2C,-0.706665543
BAK1,HOXA13,-0.706619261
NIT1,ZBTB10,-0.706521329
BCORL1,HOXA13,-0.706415738
DUSP9,HOXA13,-0.706094317
C3orf72,DLX2,-0.705852528
FOXO4,IER5L,-0.705825146
C3orf72,POU3F2,-0.705693957
HOXA13,LYL1,-0.705559993
SAMD1,CEBPA,-0.705506398
HOXB9,HOXA13,-0.705338939
SPI1,AHR,-0.705282796
HOXA13,MAP4K5,-0.705215395
PLEKHO2,DUSP9,-0.705037644
IER5L,SPI1,-0.70497236
IKZF3,C3orf72,-0.704962841
C3orf72,MIDN,-0.704857291
HOXA13,negative,-0.704790399
FOXO4,PTPN13,-0.704745679
CEBPB,IGDCC3,-0.704667206
HOXA13,HOXB9,-0.704563289
CEBPB,HOXA13,-0.704512897
C3orf72,SPI1,-0.704121504
C19orf26,PRTG,-0.704043422
IKZF3,PTPN9,-0.704034943
SET,HOXA13,-0.703839905
PRTG,ARID1A,-0.703834486
CEBPB,SLC4A1,-0.703752675
HOXA13,KIF2C,-0.703588697
MIDN,PRTG,-0.703551445
HOXA13,ATL1,-0.703493755
C3orf72,NCL,-0.70342173
TP73,PIK3CB,-0.703396556
CEBPA,MAP7D1,-0.703387001
CEBPA,SNAI1,-0.703287459
CLDN6,HOXA13,-0.703231675
FOXO4,SNAI1,-0.702911001
CEBPA,negative,-0.702842785
STIL,CEBPA,-0.702661655
AHR,HOXA13,-0.702558785
C3orf72,AHR,-0.702461268
POU3F2,FOXO4,-0.702392988
RHOXF2B,HES7,-0.702330412
HOXA13,IER5L,-0.702291767
C3orf72,ARRDC3,-0.702273961
CEBPB,POU3F2,-0.70205621
TBX2,ATL1,-0.701979507
MAP7D1,C3orf72,-0.701978548
HOXA13,CBL,-0.701945739
PTPN13,C3orf72,-0.701881034
SPI1,PEG10,-0.701784792
RUNX1T1,C3orf72,-0.701781799
BAK1,AHR,-0.701688431
CEBPA,NIT1,-0.701594037
SPI1,SAMD1,-0.701505772
CEBPA,JUN,-0.701498475
NIT1,PTPN1,-0.701481031
COL2A1,PRTG,-0.701462728
CEBPA,EGR1,-0.701423616
SLC6A9,TP73,-0.701308645
HOXA13,MEIS1,-0.701205236
ZBTB10,HOXA13,-0.701193861
RHOXF2B,HOXC13,-0.7008541
TP73,STIL,-0.700709957
C3orf72,IKZF3,-0.700615918
BAK1,HES7,-0.700599172
MAPK1,AHR,-0.700405615
POU3F2,FOXL2,-0.700392151
negative,TP73,-0.700310675
CEBPA,OSR2,-0.700256445
CEBPA,MAPK1,-0.700240493
HOXA13,negative,-0.700220849
PRDM1,IKZF3,-0.700167007
LHX1,NIT1,-0.69997366
KIAA1804,PRTG,-0.699716295
NIT1,PRTG,-0.699611696
HOXA13,SLC4A1,-0.699537261
RREB1,PRTG,-0.699507037
SPI1,IER5L,-0.69946804
