id1,id2,score
PLK4,ZBTB25,2.698924618
CBL,MAP4K5,2.695732383
FOXO4,SLC4A1,2.695484563
HES7,RUNX1T1,2.693458465
IER5L,ZNF318,2.690847683
NIT1,TBX2,2.688671062
ISL2,PTPN12,2.68591685
MAP7D1,RUNX1T1,2.683936836
STIL,TBX3,2.681541157
GLB1L2,MAP7D1,2.678004779
IRF1,MAP7D1,2.674474462
PTPN1,SLC38A2,2.672610501
CKS1B,SPI1,2.669642746
KIF2C,UBASH3B,2.669296925
CITED1,PTPN12,2.668778652
SET,SGK1,2.668624388
MAP2K6,SGK1,2.667696996
COL2A1,SET,2.665754358
IER5L,IER5L,2.663320407
NCL,RUNX1T1,2.661181573
MCOLN3,TP73,2.660149842
STIL,TBX2,2.657815428
DLX2,MAP7D1,2.647683874
SLC38A2,TBX3,2.646037756
MAP2K3,UBASH3B,2.642629437
STIL,TGFBR2,2.641858613
KLF1,TBX2,2.640743835
CBL,RREB1,2.640611617
BCR,SGK1,2.640387861
BCORL1,RREB1,2.638423945
BCR,UBASH3B,2.637185873
CDKN1B,PRDM1,2.637154084
TMSB4X,TMSB4X,2.636816831
ATL1,MAPK1,2.630676522
CLDN6,S1PR2,2.630150789
DUSP9,LHX1,2.628283604
CBL,COL2A1,2.628077974
LYL1,TBX2,2.62516918
CELF2,TGFBR2,2.624161353
UBASH3A,UBASH3B,2.623744933
CDKN1C,MAP7D1,2.622137909
MAP4K3,PTPN9,2.622081148
CEBPE,HK2,2.620932764
CEBPE,MEIS1,2.620364863
MAP7D1,SPI1,2.617847118
SGK1,ZC3HAV1,2.612702178
BCL2L11,FOXA1,2.611814328
JUN,SET,2.605983467
ETS2,UBASH3B,2.600028325
LHX1,LYL1,2.59943439
BAK1,EGR1,2.597407176
BPGM,MAP7D1,2.596966785
CDKN1B,ISL2,2.596559478
HOXA13,ZBTB25,2.595870511
FOXA3,HK2,2.593567178
CEBPA,CEBPA,2.593487664
KIF18B,PTPN9,2.59211448
BCL2L11,COL1A1,2.591789008
HNF4A,MAP7D1,2.584789537
BPGM,FOSB,2.581716753
PTPN13,TP73,2.580011567
NIT1,SGK1,2.578653077
FOXA1,UBASH3B,2.574990543
ATL1,MAP2K3,2.573192871
EGR1,IGDCC3,2.569939163
FOXA1,TMSB4X,2.569393539
CKS1B,TBX2,2.566963332
BCL2L11,MEIS1,2.56589157
CDKN1A,PTPN12,2.56207465
KIF18B,SGK1,2.561503573
DLX2,PTPN1,2.559931791
