id1,id2,score
RE-MOL-0000012857,negative,57.8715952808
RE-MOL-0000011320,negative,-9.1184047192
RE-MOL-0000293904,negative,1.6715952808
RE-MOL-0000001940,negative,-1.4284047192
RE-MOL-0000016073,negative,1.4515952808
RE-MOL-0000024449,negative,31.2215952808
RE-MOL-0000192053,negative,20.1215952808
RE-MOL-0000264161,negative,8.5115952808
RE-MOL-0000005427,negative,15.7715952808
RE-MOL-0000001940,negative,9.9415952808
RE-MOL-0000075422,negative,56.5715952808
RE-MOL-0000239211,negative,18.2415952808
RE-MOL-0000005874,negative,-0.8154047192
RE-MOL-0000075835,negative,97.9415952808
RE-MOL-0000007863,negative,3.7015952808
RE-MOL-0000009498,negative,51.8735952808
RE-MOL-0000075835,negative,98.9015952808
RE-MOL-0000061053,negative,-9.6784047192
RE-MOL-0000000470,negative,23.2615952808
RE-MOL-0000005427,negative,8.3615952808
RE-MOL-0001076992,negative,17.1215952808
RE-MOL-0000017835,negative,2.0415952808
RE-MOL-0000096788,negative,-1.8284047192000001
RE-MOL-0001086878,negative,-0.2784047192
RE-MOL-0000208410,negative,-2.0984047192
RE-MOL-0000075835,negative,98.0215952808
RE-MOL-0000011320,negative,5.8215952808
RE-MOL-0000016073,negative,2.3715952808
RE-MOL-0000123129,negative,95.8515952808
RE-MOL-0000046105,negative,21.0415952808
RE-MOL-0000123129,negative,92.0715952808
RE-MOL-0000075422,negative,20.2015952808
RE-MOL-0000024449,negative,41.9615952808
RE-MOL-0000005427,negative,-4.2984047192
RE-MOL-0000017437,negative,23.2315952808
RE-MOL-0000585498,negative,97.8015952808
RE-MOL-0000009769,negative,48.1215952808
RE-MOL-0000017835,negative,-1.2084047192
RE-MOL-0000017325,negative,38.8815952808
RE-MOL-0000042933,negative,93.4715952808
RE-MOL-0000293455,negative,55.5745952808
RE-MOL-0000005427,negative,21.8815952808
RE-MOL-0000000470,negative,26.7015952808
RE-MOL-0000017325,negative,14.7915952808
RE-MOL-0001086878,negative,43.9415952808
RE-MOL-0000402383,negative,43.9415952808
RE-MOL-0000002081,negative,50.7415952808
RE-MOL-0000801341,negative,-0.4084047192
RE-MOL-0000293904,negative,0.8015952808
RE-MOL-0000043950,negative,63.4315952808
RE-MOL-0000043950,negative,60.2115952808
RE-MOL-0000005427,negative,0.9215952808000001
RE-MOL-0000448861,negative,1.2515952808
RE-MOL-0000007863,negative,12.1615952808
RE-MOL-0000801341,negative,-3.4884047192
RE-MOL-0000011320,negative,9.5215952808
RE-MOL-0000801341,negative,5.0815952808
